number,method,path
0,visual_adv,./attack/0
1,visual_adv,./attack/1
2,visual_adv,./attack/2
3,visual_adv,./attack/3
4,visual_adv,./attack/4
5,visual_adv,./attack/5
6,visual_adv,./attack/6
7,visual_adv,./attack/7
8,visual_adv,./attack/8
9,visual_adv,./attack/9
10,visual_adv,./attack/10
11,visual_adv,./attack/11
12,visual_adv,./attack/12
13,visual_adv,./attack/13
14,visual_adv,./attack/14
15,visual_adv,./attack/15
16,visual_adv,./attack/16
17,visual_adv,./attack/17
18,visual_adv,./attack/18
19,visual_adv,./attack/19
20,visual_adv,./attack/20
21,visual_adv,./attack/21
22,visual_adv,./attack/22
23,visual_adv,./attack/23
24,visual_adv,./attack/24
25,visual_adv,./attack/25
26,visual_adv,./attack/26
27,visual_adv,./attack/27
28,visual_adv,./attack/28
29,visual_adv,./attack/29
30,visual_adv,./attack/30
31,visual_adv,./attack/31
32,visual_adv,./attack/32
33,visual_adv,./attack/33
34,visual_adv,./attack/34
35,visual_adv,./attack/35
36,visual_adv,./attack/36
37,visual_adv,./attack/37
38,visual_adv,./attack/38
39,visual_adv,./attack/39
40,visual_adv,./attack/40
41,visual_adv,./attack/41
42,visual_adv,./attack/42
43,visual_adv,./attack/43
44,visual_adv,./attack/44
45,visual_adv,./attack/45
46,visual_adv,./attack/46
47,visual_adv,./attack/47
48,visual_adv,./attack/48
49,visual_adv,./attack/49
50,visual_adv,./attack/50
51,visual_adv,./attack/51
52,visual_adv,./attack/52
53,visual_adv,./attack/53
54,visual_adv,./attack/54
55,visual_adv,./attack/55
56,visual_adv,./attack/56
57,visual_adv,./attack/57
58,visual_adv,./attack/58
59,visual_adv,./attack/59
60,visual_adv,./attack/60
61,visual_adv,./attack/61
62,visual_adv,./attack/62
63,visual_adv,./attack/63
64,visual_adv,./attack/64
65,visual_adv,./attack/65
66,visual_adv,./attack/66
67,visual_adv,./attack/67
68,visual_adv,./attack/68
69,visual_adv,./attack/69
70,visual_adv,./attack/70
71,visual_adv,./attack/71
72,visual_adv,./attack/72
73,visual_adv,./attack/73
74,visual_adv,./attack/74
75,visual_adv,./attack/75
76,visual_adv,./attack/76
77,visual_adv,./attack/77
78,visual_adv,./attack/78
79,visual_adv,./attack/79
80,benign,./benign/80
81,benign,./benign/81
82,benign,./benign/82
83,benign,./benign/83
84,benign,./benign/84
85,benign,./benign/85
86,benign,./benign/86
87,benign,./benign/87
88,benign,./benign/88
89,benign,./benign/89
90,benign,./benign/90
91,benign,./benign/91
92,benign,./benign/92
93,benign,./benign/93
94,benign,./benign/94
95,benign,./benign/95
96,benign,./benign/96
97,benign,./benign/97
98,benign,./benign/98
99,benign,./benign/99
100,benign,./benign/100
101,benign,./benign/101
102,benign,./benign/102
103,benign,./benign/103
104,benign,./benign/104
105,benign,./benign/105
106,benign,./benign/106
107,benign,./benign/107
108,benign,./benign/108
109,benign,./benign/109
110,benign,./benign/110
111,benign,./benign/111
112,benign,./benign/112
113,benign,./benign/113
114,benign,./benign/114
115,benign,./benign/115
116,benign,./benign/116
117,benign,./benign/117
118,benign,./benign/118
119,benign,./benign/119
120,benign,./benign/120
121,benign,./benign/121
122,benign,./benign/122
123,benign,./benign/123
124,benign,./benign/124
125,benign,./benign/125
126,benign,./benign/126
127,benign,./benign/127
128,benign,./benign/128
129,benign,./benign/129
130,benign,./benign/130
131,benign,./benign/131
132,benign,./benign/132
133,benign,./benign/133
134,benign,./benign/134
135,benign,./benign/135
136,benign,./benign/136
137,benign,./benign/137
138,benign,./benign/138
139,benign,./benign/139
140,benign,./benign/140
141,benign,./benign/141
142,benign,./benign/142
143,benign,./benign/143
144,benign,./benign/144
145,benign,./benign/145
146,benign,./benign/146
147,benign,./benign/147
148,benign,./benign/148
149,benign,./benign/149
150,benign,./benign/150
151,benign,./benign/151
152,benign,./benign/152
153,benign,./benign/153
154,benign,./benign/154
155,benign,./benign/155
156,benign,./benign/156
157,benign,./benign/157
158,benign,./benign/158
159,benign,./benign/159
