number,method,path
0,Evil Confidant,./text/attack/0
1,DevMode+Ranti,./text/attack/1
2,AIM,./text/attack/2
3,Translator,./text/attack/3
4,MasterKey-poc,./text/attack/4
5,Evil Confidant,./text/attack/5
6,DevMode+Ranti,./text/attack/6
7,GPT4simulator,./text/attack/7
8,AIM,./text/attack/8
9,TextContinue,./text/attack/9
10,Translator,./text/attack/10
11,MasterKey-poc,./text/attack/11
12,Evil Confidant,./text/attack/12
13,DevMode+Ranti,./text/attack/13
14,GPT4simulator,./text/attack/14
15,AIM,./text/attack/15
16,Translator,./text/attack/16
17,MasterKey-poc,./text/attack/17
18,Evil Confidant,./text/attack/18
19,DevMode+Ranti,./text/attack/19
20,AIM,./text/attack/20
21,Translator,./text/attack/21
22,MasterKey-poc,./text/attack/22
23,DevMode+Ranti,./text/attack/23
24,AIM,./text/attack/24
25,TextContinue,./text/attack/25
26,Translator,./text/attack/26
27,MasterKey-continue,./text/attack/27
28,Adversarial-2,./text/attack/28
29,Evil Confidant,./text/attack/29
30,DevMode+Ranti,./text/attack/30
31,GPT4simulator,./text/attack/31
32,AIM,./text/attack/32
33,Translator,./text/attack/33
34,MasterKey-continue,./text/attack/34
35,AIM,./text/attack/35
36,MasterKey-poc,./text/attack/36
37,Translator,./text/attack/37
38,AIM,./text/attack/38
39,MasterKey-poc,./text/attack/39
40,Translator,./text/attack/40
41,AIM,./text/attack/41
42,MasterKey-continue,./text/attack/42
43,MasterKey-poc,./text/attack/43
44,Translator,./text/attack/44
45,AIM,./text/attack/45
46,DevMode+Ranti,./text/attack/46
47,Evil Confidant,./text/attack/47
48,GPT4simulator,./text/attack/48
49,MasterKey-poc,./text/attack/49
50,Translator,./text/attack/50
51,AIM,./text/attack/51
52,MasterKey-poc,./text/attack/52
53,AIM,./text/attack/53
54,MasterKey-poc,./text/attack/54
55,GPT4simulator,./text/attack/55
56,MasterKey-poc,./text/attack/56
57,MasterKey-poc,./text/attack/57
58,MasterKey-poc,./text/attack/58
59,AIM,./text/attack/59
60,Evil Confidant,./text/attack/60
61,MasterKey-poc,./text/attack/61
62,Translator,./text/attack/62
63,GPT4simulator,./text/attack/63
64,MasterKey-poc,./text/attack/64
65,AIM,./text/attack/65
66,GPT4simulator,./text/attack/66
67,MasterKey-poc,./text/attack/67
68,Evil Confidant,./text/attack/68
69,GPT4simulator,./text/attack/69
70,MasterKey-poc,./text/attack/70
71,MasterKey-poc,./text/attack/71
72,benign,./text/benign/72
73,benign,./text/benign/73
74,benign,./text/benign/74
75,benign,./text/benign/75
76,benign,./text/benign/76
77,benign,./text/benign/77
78,benign,./text/benign/78
79,benign,./text/benign/79
80,benign,./text/benign/80
81,benign,./text/benign/81
82,benign,./text/benign/82
83,benign,./text/benign/83
84,benign,./text/benign/84
85,benign,./text/benign/85
86,benign,./text/benign/86
87,benign,./text/benign/87
88,benign,./text/benign/88
89,benign,./text/benign/89
90,benign,./text/benign/90
91,benign,./text/benign/91
92,benign,./text/benign/92
93,benign,./text/benign/93
94,benign,./text/benign/94
95,benign,./text/benign/95
96,benign,./text/benign/96
97,benign,./text/benign/97
98,benign,./text/benign/98
99,benign,./text/benign/99
100,benign,./text/benign/100
101,benign,./text/benign/101
102,benign,./text/benign/102
103,benign,./text/benign/103
104,benign,./text/benign/104
105,benign,./text/benign/105
106,benign,./text/benign/106
107,benign,./text/benign/107
108,benign,./text/benign/108
109,benign,./text/benign/109
110,benign,./text/benign/110
111,benign,./text/benign/111
112,benign,./text/benign/112
113,benign,./text/benign/113
114,benign,./text/benign/114
115,benign,./text/benign/115
116,benign,./text/benign/116
117,benign,./text/benign/117
118,benign,./text/benign/118
119,benign,./text/benign/119
120,benign,./text/benign/120
121,benign,./text/benign/121
122,benign,./text/benign/122
123,benign,./text/benign/123
124,benign,./text/benign/124
125,benign,./text/benign/125
126,benign,./text/benign/126
127,benign,./text/benign/127
128,benign,./text/benign/128
129,benign,./text/benign/129
130,benign,./text/benign/130
131,benign,./text/benign/131
132,benign,./text/benign/132
133,benign,./text/benign/133
134,benign,./text/benign/134
135,benign,./text/benign/135
136,benign,./text/benign/136
137,benign,./text/benign/137
138,benign,./text/benign/138
139,benign,./text/benign/139
140,benign,./text/benign/140
141,benign,./text/benign/141
142,benign,./text/benign/142
143,benign,./text/benign/143
